total # of times word used,,,# of categories w word,,,Av # of times used per category,,,Total reviews per category,
place,4805,,good,40,,place,120.1,,American (New),1060
good,4762,,great,40,,good,119.1,,American (Traditional),887
just,2613,,just,40,,pizza,74.8,,Asian Fusion,388
time,2537,,one,40,,just,65.3,,Bakeries,208
one,2433,,place,40,,time,63.4,,Barbeque,187
great,2422,,time,40,,naan,61.0,,Bars,947
very,2392,,very,40,,one,60.8,,Breakfast & Brunch,502
really,2189,,back,39,,great,60.6,,Breweries,38
some,2005,,little,39,,very,59.8,,Buffets,99
service,1758,,nice,39,,sushi,56.7,,Burgers,436
back,1629,,no,39,,really,56.1,,Cafes,341
more,1576,,other,39,,some,52.8,,Chinese,592
chicken,1546,,really,39,,Thai,48.3,,Coffee & Tea,452
pretty,1513,,more,38,,service,47.5,,Delis,364
pizza,1496,,much,38,,bar,46.8,,Desserts,90
order,1450,,pretty,38,,sandwich,44.5,,Diners,291
no,1417,,sauce,38,,burger,44.1,,Fast Food,516
other,1405,,some,38,,masala,44.0,,Food Stands,320
sandwich,1379,,always,37,,beer,43.3,,Greek,186
menu,1345,,better,37,,chicken,42.9,,Hot Dogs,125
nice,1340,,bit,37,,back,41.8,,Ice Cream & Frozen Yogurt,32
got,1318,,first,37,,more,41.5,,Indian,402
little,1256,,got,37,,order,40.3,,Italian,707
ha,1222,,ha,37,,pretty,39.8,,Japanese,617
much,1190,,know,37,,Chinese,38.1,,Korean,334
salad,1177,,love,37,,menu,37.4,,Mediterranean,343
bar,1171,,ordered,37,,burrito,37.1,,Mexican,718
well,1169,,service,37,,no,36.3,,Middle Eastern,243
make,1163,,think,37,,other,36.0,,Nightlife,1010
lunch,1159,,well,37,,mexican,35.8,,Pizza,967
come,1141,,came,36,,salad,35.7,,Pubs,285
sauce,1138,,chicken,36,,got,35.6,,Sandwiches,931
always,1133,,day,36,,cheese,35.3,,Seafood,262
best,1119,,delicious,36,,crust,35.2,,Southern,105
drink,1117,,down,36,,drink,34.9,,Steakhouses,174
think,1106,,menu,36,,nice,34.4,,Street Vendors,45
ordered,1105,,never,36,,roll,34.0,,Sushi Bars,435
price,1100,,order,36,,make,33.2,,Thai,371
better,1042,,people,36,,lunch,33.1,,Vegan,90
people,1035,,price,36,,ha,33.0,,Vegetarian,180
love,1028,,quite,36,,come,32.6,,,
after,1011,,side,36,,little,32.2,,,
friend,1009,,star,36,,indian,32.2,,,
try,998,,though,36,,best,32.0,,,
cheese,987,,try,36,,well,31.6,,,
first,963,,way,36,,night,31.6,,,
thing,950,,after,35,,much,31.3,,,
know,939,,bad,35,,subway,30.8,,,
delicious,916,,best,35,,always,30.6,,,
night,916,,come,35,,price,30.6,,,
table,913,,ever,35,,sauce,29.9,,,
came,908,,friend,35,,think,29.9,,,
never,885,,lot,35,,ordered,29.9,,,
day,884,,lunch,35,,fry,29.4,,,
burger,881,,make,35,,taco,29.1,,,
meal,861,,meal,35,,after,28.9,,,
bad,846,,most,35,,friend,28.8,,,
dish,836,,off,35,,dish,28.8,,,
over,834,,right,35,,people,28.8,,,
though,834,,say,35,,better,28.2,,,
two,832,,thing,35,,wing,28.0,,,
fresh,818,,area,34,,love,27.8,,,
star,806,,big,34,,try,27.7,,,
right,795,,everything,34,,table,27.7,,,
fry,794,,fresh,34,,thing,27.1,,,
say,794,,over,34,,guacamole,27.0,,,
still,787,,serve,34,,ask,26.9,,,
